Company,Job_title,Location,Salary,Links
PT. Protein Industri Pakan Indonesia,Supervisor Marketing,Medan,"IDR 4,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/supervisor-marketing-4515928?jobId=jobstreet-id-job-4515928&sectionRank=1716&token=0~63393472-20fd-44ae-8fab-a1c860801c2d&fr=SRP%20Job%20Listing
PT I D X Partners,Database Administrator (DBA),Jakarta Raya,"IDR 7,500,000 - IDR 10,500,000",https://www.jobstreet.co.id/id/job/database-administrator-dba-4518766?jobId=jobstreet-id-job-4518766&sectionRank=818&token=0~259df4d8-811e-497c-8d13-e71571f60fea&fr=SRP%20Job%20Listing
PT. Sumber Energi Surya,Secretary & Admin,Batam,"IDR 4,500,440 - IDR 6,500,000",https://www.jobstreet.co.id/id/job/secretary-admin-4517104?jobId=jobstreet-id-job-4517104&sectionRank=369&token=0~47629d01-d935-4b57-9162-1c02868ee0b9&fr=SRP%20Job%20Listing
Haideo,FINANCE AND ACCOUNTING OFFICER,Makassar,"IDR 3,500,000 - IDR 3,600,000",https://www.jobstreet.co.id/id/job/finance-and-accounting-officer-4517447?jobId=jobstreet-id-job-4517447&sectionRank=1026&token=0~8f9b6734-1c6c-4cae-9ae5-fd25712866e6&fr=SRP%20Job%20Listing
PT K-24 Indonesia,HR Recruiter,Yogyakarta,"IDR 2,800,000 - IDR 3,000,000",https://www.jobstreet.co.id/id/job/hr-recruiter-4516866?jobId=jobstreet-id-job-4516866&sectionRank=1358&token=0~56b1ee54-4da6-4925-a572-12dcbfb9dd6c&fr=SRP%20Job%20Listing
PT Lamindo Eka Perdana,Mechanical Engineering,Jakarta Selatan,"IDR 6,000,000 - IDR 9,000,000",https://www.jobstreet.co.id/id/job/mechanical-engineering-4517034?jobId=jobstreet-id-job-4517034&sectionRank=1509&token=0~7269ef9c-7c5e-4f51-9794-97b3eba48d90&fr=SRP%20Job%20Listing
PT Krakatau Posco,Internal Auditor,Cilegon,"IDR 7,500,000 - IDR 13,000,000",https://www.jobstreet.co.id/id/job/internal-auditor-4516988?jobId=jobstreet-id-job-4516988&sectionRank=1689&token=0~163eaba1-3577-4cbf-a0c7-9bad499815c9&fr=SRP%20Job%20Listing
Bababoo Home,Content Creator,Surabaya,"IDR 3,300,000 - IDR 4,620,000",https://www.jobstreet.co.id/id/job/content-creator-4518381?jobId=jobstreet-id-job-4518381&sectionRank=1028&token=0~8f9b6734-1c6c-4cae-9ae5-fd25712866e6&fr=SRP%20Job%20Listing
PT. Graha Usada Nusantara,Business Development,Jakarta Selatan,"IDR 5,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/business-development-4518866?jobId=jobstreet-id-job-4518866&sectionRank=549&token=0~34ba7601-569b-43b3-a8ca-6dbf5ca09d7e&fr=SRP%20Job%20Listing
Sunrecruit Indonesia,GM Operational Property - Landed,Jakarta Raya,"IDR 25,000,000 - IDR 45,000,000",https://www.jobstreet.co.id/id/job/gm-operational-property-landed-4517289?jobId=jobstreet-id-job-4517289&sectionRank=220&token=0~af8a99b7-4565-4a40-a9a2-75a6e3bca5c9&fr=SRP%20Job%20Listing
PT JAC Consulting Indonesia,HR Generalist Supervisor (Language Course Company),Jakarta Selatan,"IDR 10,000,000 - IDR 14,000,000",https://www.jobstreet.co.id/id/job/hr-generalist-supervisor-language-course-company-4518663?jobId=jobstreet-id-job-4518663&sectionRank=971&token=0~eac63e12-d402-4063-b1fd-a9d1a5c15d57&fr=SRP%20Job%20Listing
PT Minda Asean Automotive,HRD & GA Staff (Recruitment & Training Staff),Karawang,"IDR 6,000,000 - IDR 6,500,000",https://www.jobstreet.co.id/id/job/hrd-ga-staff-recruitment-training-staff-4516551?jobId=jobstreet-id-job-4516551&sectionRank=703&token=0~9abdf574-e804-454c-acd0-3191ba3bbbbb&fr=SRP%20Job%20Listing
Indanung,Marketing,Jakarta Utara,"IDR 4,000,000 - IDR 5,600,000",https://www.jobstreet.co.id/id/job/marketing-4515634?jobId=jobstreet-id-job-4515634&sectionRank=1690&token=0~163eaba1-3577-4cbf-a0c7-9bad499815c9&fr=SRP%20Job%20Listing
PT Pasti Super Pedas,Social Media and Creative Marketing Staff,Jakarta Barat,"IDR 4,000,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/social-media-and-creative-marketing-staff-4517451?jobId=jobstreet-id-job-4517451&sectionRank=1572&token=0~00b4b701-5616-4a55-99bb-fcbaf55b100e&fr=SRP%20Job%20Listing
PT Gading Murni (Head Office),Assistant Director,Surabaya,"IDR 7,000,000 - IDR 10,000,000",https://www.jobstreet.co.id/id/job/assistant-director-4516911?jobId=jobstreet-id-job-4516911&sectionRank=430&token=0~ef7a49e1-9c88-4ea8-8c60-e1803c396a7e&fr=SRP%20Job%20Listing
Propertia Bali,Social Media Assistant,Bali,"IDR 5,000,000 - IDR 10,000,000",https://www.jobstreet.co.id/id/job/social-media-assistant-4515383?jobId=jobstreet-id-job-4515383&sectionRank=159&token=0~09511eb4-c57d-48c2-8152-d0ef3402ab7a&fr=SRP%20Job%20Listing
PT. Tritunggal Buana Sejahtera,Desk Collection,Tangerang,"IDR 3,800,000 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/desk-collection-4516378?jobId=jobstreet-id-job-4516378&sectionRank=1719&token=0~63393472-20fd-44ae-8fab-a1c860801c2d&fr=SRP%20Job%20Listing
PT Mega Advans Teknologi,Sales Canvasser,Balikpapan,"IDR 3,200,000 - IDR 4,000,000",https://www.jobstreet.co.id/id/job/sales-canvasser-4516709?jobId=jobstreet-id-job-4516709&sectionRank=1153&token=0~03af6f7a-bc29-4bc0-a38a-a085effd5373&fr=SRP%20Job%20Listing
Perusahaan Dirahasiakan,Personal Assistant,Jakarta Pusat,"IDR 7,000,000 - IDR 10,000,000",https://www.jobstreet.co.id/id/job/personal-assistant-4516357?jobId=jobstreet-id-job-4516357&sectionRank=40&token=0~adbd6dd3-5959-47db-bb19-0260ad7ef617&fr=SRP%20Job%20Listing
PT Multi Karya Garmentexindo,Creative Director,Tangerang,"IDR 5,000,000 - IDR 10,000,000",https://www.jobstreet.co.id/id/job/creative-director-4519038?jobId=jobstreet-id-job-4519038&sectionRank=731&token=0~f5325532-66cf-4ead-82a5-50cf12a31ba1&fr=SRP%20Job%20Listing
PT Gavi Unggul Niaga Adika,Sales TO Cianjur Sukabumi,Bogor,"IDR 3,900,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/sales-to-cianjur-sukabumi-4517771?jobId=jobstreet-id-job-4517771&sectionRank=1748&token=0~608a6c2c-dd21-4f49-9247-da9edf28ab3c&fr=SRP%20Job%20Listing
PT Bumi Estetika Perkasa,"Sales Executive area Bandung, Kalimantan, dan Bali",Jakarta Raya,"IDR 5,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/sales-executive-area-bandung-kalimantan-dan-bali-4519061?jobId=jobstreet-id-job-4519061&sectionRank=1511&token=0~7269ef9c-7c5e-4f51-9794-97b3eba48d90&fr=SRP%20Job%20Listing
PT Jaya Fermex,Asst Technical Baker - Yogyakarta,Yogyakarta,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/asst-technical-baker-yogyakarta-4517662?jobId=jobstreet-id-job-4517662&sectionRank=1209&token=0~6c00a9e9-67aa-49a6-b7b3-50951106fb24&fr=SRP%20Job%20Listing
PT PRU WINNER Jkt,Sales and Marketing Development Program,Jakarta Raya,"IDR 7,000,000 - IDR 14,000,000",https://www.jobstreet.co.id/id/job/sales-and-marketing-development-program-4518638?jobId=jobstreet-id-job-4518638&sectionRank=160&token=0~09511eb4-c57d-48c2-8152-d0ef3402ab7a&fr=SRP%20Job%20Listing
PT. SATU BISNIS INDONESIA,Content Creator,Tangerang,"IDR 5,000,000 - IDR 8,000,000",https://www.jobstreet.co.id/id/job/content-creator-4517487?jobId=jobstreet-id-job-4517487&sectionRank=1481&token=0~39aee3b0-1669-4866-a268-361e61dec0c5&fr=SRP%20Job%20Listing
PT Benberg Arome Indonesia,SENIOR EXECUTIVE ASSISTANT DIRECTOR,Surabaya,"IDR 17,000,000 - IDR 25,000,000",https://www.jobstreet.co.id/id/job/senior-executive-assistant-director-4518741?jobId=jobstreet-id-job-4518741&sectionRank=1154&token=0~03af6f7a-bc29-4bc0-a38a-a085effd5373&fr=SRP%20Job%20Listing
PT EKA AGENCY MANAGEMENT (GA STAR VISION GROUP MANULIFE INDONESIA),BUSINESS DIRECTOR,Jakarta Raya,"IDR 18,000,000 - IDR 36,000,000",https://www.jobstreet.co.id/id/job/business-director-4517420?jobId=jobstreet-id-job-4517420&sectionRank=791&token=0~3a8477aa-9b52-4135-8403-7aca5dd8cdd6&fr=SRP%20Job%20Listing
PT. INTISUMBER BAJASAKTI,Recruitment Staff,Jakarta Utara,"IDR 7,402,000 - IDR 10,362,800",https://www.jobstreet.co.id/id/job/recruitment-staff-4516385?jobId=jobstreet-id-job-4516385&sectionRank=460&token=0~fa33a9c2-ef25-4896-ae6f-cb49ef52425e&fr=SRP%20Job%20Listing
PT Susu Life Indonesia,Sales Support Part-Time,Jakarta Barat,"IDR 3,500,000 - IDR 3,500,010",https://www.jobstreet.co.id/id/job/sales-support-part-time-4515554?jobId=jobstreet-id-job-4515554&sectionRank=883&token=0~e524793e-7696-4cf3-9951-aaaf124ca4ee&fr=SRP%20Job%20Listing
PT Timbercraft Ecolestari,DRAFTER & MARKETING SUPPORT,Jakarta Selatan,"IDR 6,500,000 - IDR 7,500,000",https://www.jobstreet.co.id/id/job/drafter-marketing-support-4517081?jobId=jobstreet-id-job-4517081&sectionRank=1210&token=0~6c00a9e9-67aa-49a6-b7b3-50951106fb24&fr=SRP%20Job%20Listing
FAP Agri Group,Asisten Kepala Land Clearing,Nunukan,"IDR 8,500,000 - IDR 11,900,000",https://www.jobstreet.co.id/id/job/asisten-kepala-land-clearing-4515826?jobId=jobstreet-id-job-4515826&sectionRank=1302&token=0~a22ac313-8f6f-48d8-9304-5d2499f6bb7f&fr=SRP%20Job%20Listing
PT.Metaline Technology Indonesia,Molding Engineer,Batam,"IDR 8,000,000 - IDR 11,000,000",https://www.jobstreet.co.id/id/job/molding-engineer-4516178?jobId=jobstreet-id-job-4516178&sectionRank=1331&token=0~dbc4da5f-01bc-4e1e-81b3-7f096b018cb5&fr=SRP%20Job%20Listing
PT Dom Pizza Indonesia,Recruitment Staff,Jakarta Raya,"IDR 5,000,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/recruitment-staff-4517048?jobId=jobstreet-id-job-4517048&sectionRank=433&token=0~ef7a49e1-9c88-4ea8-8c60-e1803c396a7e&fr=SRP%20Job%20Listing
PT. IBU ANAK SUKSES,Content Creator Tiktok,Surabaya,"IDR 4,500,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/content-creator-tiktok-4518027?jobId=jobstreet-id-job-4518027&sectionRank=884&token=0~e524793e-7696-4cf3-9951-aaaf124ca4ee&fr=SRP%20Job%20Listing
PT Triyakom,Music Publishing,Jakarta Raya,"IDR 5,500,000 - IDR 7,700,000",https://www.jobstreet.co.id/id/job/music-publishing-4518052?jobId=jobstreet-id-job-4518052&sectionRank=1123&token=0~7685761f-7cd2-460e-bd30-c338616c3175&fr=SRP%20Job%20Listing
Maekawa Mandiri International,SWITCHBOARD DESIGN,Bekasi,"IDR 5,500,000 - IDR 10,000,000",https://www.jobstreet.co.id/id/job/switchboard-design-4517800?jobId=jobstreet-id-job-4517800&sectionRank=761&token=0~fb765531-069c-4b8a-93f7-1cfabaa92c85&fr=SRP%20Job%20Listing
PT Neuroteknologi Edukasi Indonesia,Sales & Customer Support,Jakarta Raya,"IDR 4,800,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/sales-customer-support-4517567?jobId=jobstreet-id-job-4517567&sectionRank=101&token=0~c50536a6-5a50-42d5-b949-ab10e5e60cbd&fr=SRP%20Job%20Listing
PT Solaris Scientific Indonesia,Accounts Manager,Jakarta Pusat,"IDR 7,500,000 - IDR 10,500,000",https://www.jobstreet.co.id/id/job/accounts-manager-4517833?jobId=jobstreet-id-job-4517833&sectionRank=190&token=0~049678d9-f67a-42fa-825c-0dd3c9070d3e&fr=SRP%20Job%20Listing
PT. Sun Logistics,HR GA Staff,Jakarta Utara,"IDR 3,500,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/hr-ga-staff-4514940?jobId=jobstreet-id-job-4514940&sectionRank=1394&token=0~969a56c5-bc12-41aa-822a-6203e6a5bc90&fr=SRP%20Job%20Listing
PT. Beauty Source Indonesia,Prinsipal Representative (offline sales),Bali,"IDR 3,500,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/prinsipal-representative-offline-sales-4518981?jobId=jobstreet-id-job-4518981&sectionRank=132&token=0~958bc18d-13dc-4bd8-a7c4-bbbdacfd70ce&fr=SRP%20Job%20Listing
PT AXA Mandiri Financial Services,FINANCIAL ADVISOR - MANADO,Manado,"IDR 2,500,000 - IDR 3,250,000",https://www.jobstreet.co.id/id/job/financial-advisor-manado-4517295?jobId=jobstreet-id-job-4517295&sectionRank=1003&token=0~6743374a-dc0b-4223-9a6d-434ff58c2700&fr=SRP%20Job%20Listing
Harvest Edukasi,Account Executive,Jakarta Raya,"IDR 4,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/account-executive-4518958?jobId=jobstreet-id-job-4518958&sectionRank=913&token=0~0e9d65d8-9a7f-44cf-9d81-0faeef19653c&fr=SRP%20Job%20Listing
PT ACCENTUATES,Field Trainer (Trainer HP),Sulawesi Tenggara,"IDR 4,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/field-trainer-trainer-hp-4519083?jobId=jobstreet-id-job-4519083&sectionRank=407&token=0~e7a7d03f-ca41-48a0-8ecc-c39f99367986&fr=SRP%20Job%20Listing
Diandra Clinic,PERAWAT,Jawa Timur,"IDR 4,000,000 - IDR 5,600,000",https://www.jobstreet.co.id/id/job/perawat-4516737?jobId=jobstreet-id-job-4516737&sectionRank=1632&token=0~1d08b392-603d-4cf8-be40-3438bb9b0397&fr=SRP%20Job%20Listing
CSTI,STAFF EXIM ( EXPORT - IMPORT ),Karawang,"IDR 5,600,000 - IDR 6,900,000",https://www.jobstreet.co.id/id/job/staff-exim-export-import-4518973?jobId=jobstreet-id-job-4518973&sectionRank=310&token=0~216fad1f-2284-41a8-b169-81337b034e9c&fr=SRP%20Job%20Listing
PT Galva Galindra Multi Cipta,Administrasi Staff Denpasar,Denpasar,"IDR 3,300,000 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/administrasi-staff-denpasar-4514550?jobId=jobstreet-id-job-4514550&sectionRank=552&token=0~34ba7601-569b-43b3-a8ca-6dbf5ca09d7e&fr=SRP%20Job%20Listing
Eka Dharma Nusantara,KTPA - ATPA (Tim Penyusun AMDAL),Bekasi,"IDR 6,000,000 - IDR 9,000,000",https://www.jobstreet.co.id/id/job/ktpa-atpa-tim-penyusun-amdal-4517981?jobId=jobstreet-id-job-4517981&sectionRank=580&token=0~dfc31a67-8fac-4af6-bf91-034f9be4e42f&fr=SRP%20Job%20Listing
CV Wijaya Machinery,Marketing Support,Jakarta Utara,"IDR 4,500,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/marketing-support-4518625?jobId=jobstreet-id-job-4518625&sectionRank=1543&token=0~5e3009b4-0c2b-4505-85fd-88b25abb3cb1&fr=SRP%20Job%20Listing
PT Kahar Duta Sarana,ACCOUNT MANAGER B2B,Yogyakarta,"IDR 5,000,000 - IDR 8,000,000",https://www.jobstreet.co.id/id/job/account-manager-b2b-4517657?jobId=jobstreet-id-job-4517657&sectionRank=133&token=0~958bc18d-13dc-4bd8-a7c4-bbbdacfd70ce&fr=SRP%20Job%20Listing
PT Baraka Sarana Tama,Management Trainee Head of Branch Operations,Banjarmasin,"IDR 3,200,000 - IDR 3,400,000",https://www.jobstreet.co.id/id/job/management-trainee-head-of-branch-operations-4518854?jobId=jobstreet-id-job-4518854&sectionRank=374&token=0~47629d01-d935-4b57-9162-1c02868ee0b9&fr=SRP%20Job%20Listing
PT Sinarmonas Industries,Supervisor Laboratorium Chemical,Tangerang,"IDR 6,000,000 - IDR 8,000,000",https://www.jobstreet.co.id/id/job/supervisor-laboratorium-chemical-4518481?jobId=jobstreet-id-job-4518481&sectionRank=762&token=0~fb765531-069c-4b8a-93f7-1cfabaa92c85&fr=SRP%20Job%20Listing
Perusahaan Dirahasiakan,FINANCE ADMIN PERKEBUNAN - SUMATERA UTARA,Sumatera Utara,"IDR 4,000,000 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/finance-admin-perkebunan-sumatera-utara-4517623?jobId=jobstreet-id-job-4517623&sectionRank=284&token=0~85ea0121-5607-4751-b85f-ae8600cd99cc&fr=SRP%20Job%20Listing
RGF HR Agent Indonesia,QC Manager - Construction (B-100237),Jakarta Selatan,"IDR 15,000,000 - IDR 20,000,000",https://www.jobstreet.co.id/id/job/qc-manager-construction-b-100237-4518672?jobId=jobstreet-id-job-4518672&sectionRank=191&token=0~049678d9-f67a-42fa-825c-0dd3c9070d3e&fr=SRP%20Job%20Listing
PT Deprintz Sukses Sejahtera,Videografer Staff,Surabaya,"IDR 2,800,000 - IDR 3,000,000",https://www.jobstreet.co.id/id/job/videografer-staff-4518930?jobId=jobstreet-id-job-4518930&sectionRank=341&token=0~b63339e4-722a-4e5f-a7a1-2963cb6531b9&fr=SRP%20Job%20Listing
Precious Dental Care,Manajer Operasional,Jakarta Utara,"IDR 6,000,000 - IDR 8,400,000",https://www.jobstreet.co.id/id/job/manajer-operasional-4516137?jobId=jobstreet-id-job-4516137&sectionRank=642&token=0~29cd02b4-34e8-4cc4-b20a-a31d03be727e&fr=SRP%20Job%20Listing
PT Deus Ex Machina Indonesia,Sales Promotion (Sales Promotion),Badung,"IDR 4,000,000 - IDR 4,500,000",https://www.jobstreet.co.id/id/job/sales-promotion-sales-promotion-4518022?jobId=jobstreet-id-job-4518022&sectionRank=1693&token=0~163eaba1-3577-4cbf-a0c7-9bad499815c9&fr=SRP%20Job%20Listing
PT. Tsingshan Steel Indonesia,Guest Attendant 接待员,Sulawesi Tengah,"IDR 12,000,000 - IDR 14,000,000",https://www.jobstreet.co.id/id/job/guest-attendant-%E6%8E%A5%E5%BE%85%E5%91%98-4519064?jobId=jobstreet-id-job-4519064&sectionRank=11&token=0~c3cc334b-459c-4821-a769-8334fd2ef181&fr=SRP%20Job%20Listing
PT Lamindo Eka Perdana,Administrasi Management Business,Jakarta Selatan,"IDR 5,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/administrasi-management-business-4517108?jobId=jobstreet-id-job-4517108&sectionRank=311&token=0~216fad1f-2284-41a8-b169-81337b034e9c&fr=SRP%20Job%20Listing
"PT Tigaraksa Satria, Tbk",Admin Gudang Temporary (Manado),Manado,"PT. Tigaraksa Satria, Tbk was initially established in 1988 and listed in IDX since 1990. The company is engaged in the business of sales and distribution in a national wide scale. Currently, activities run by the company through its business unit and subsidiaries are Consumer Products, Direct selling of Educational Products, Gas Refill & appliances, and dry milk manufacture. So that every Indonesian has access to life essentials. Nowadays, we provide avenues to grow for our trade channels and our principals. Among our principals are PT. Sari Husada, PT. Nutricia Indonesia Sejahtera, PT. Wyeth Indonesia, PT. Mars Symbioscience Indonesia, PT. Colgate-Palmolive Indonesia, PT. Yupi Indo Jelly Gum,etc. Now our company has been employing 1700 people covers 33 branches all over Indonesia. In Year 2015, our sales revenue was about IDR 9.505 Trilion. People is the key of our success. At this moment, we are looking for a highly motivated professional to join us.  Please visit our website :www.tigaraksa.co.id &www.tigaraksa-ep.id to know further about us.",https://www.jobstreet.co.id/id/job/admin-gudang-temporary-manado-4518230?jobId=jobstreet-id-job-4518230&sectionRank=251&token=0~317ce3cb-4347-4dc6-bccc-156ac6fb4b5b&fr=SRP%20Job%20Listing
PT. INTISUMBER BAJASAKTI,Expedition Staff,Jakarta Utara,"IDR 7,402,000 - IDR 10,362,800",https://www.jobstreet.co.id/id/job/expedition-staff-4514465?jobId=jobstreet-id-job-4514465&sectionRank=1034&token=0~8f9b6734-1c6c-4cae-9ae5-fd25712866e6&fr=SRP%20Job%20Listing
PT. ALUMINDO BERKAT SEJAHTERA,Admin Sales Support Export dan Import,Jakarta Barat,"IDR 5,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/admin-sales-support-export-dan-import-4516573?jobId=jobstreet-id-job-4516573&sectionRank=1005&token=0~6743374a-dc0b-4223-9a6d-434ff58c2700&fr=SRP%20Job%20Listing
PT JAC Konsultan Indonesia,Digital Marketing Denpasar Bali,Denpasar,"IDR 4,000,000 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/digital-marketing-denpasar-bali-4518951?jobId=jobstreet-id-job-4518951&sectionRank=853&token=0~68d93af3-a6e7-4b49-96dd-1e40171a9a41&fr=SRP%20Job%20Listing
Pondok Lensa,"Retail Customer Service (Batch II, Surabaya 2023)",Surabaya,"IDR 3,700,000 - IDR 4,200,000",https://www.jobstreet.co.id/id/job/retail-customer-service-batch-ii-surabaya-2023-4517650?jobId=jobstreet-id-job-4517650&sectionRank=375&token=0~47629d01-d935-4b57-9162-1c02868ee0b9&fr=SRP%20Job%20Listing
PT Wook Global Technology,Admin & After Sales Services (Area Surabaya),Surabaya,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/admin-after-sales-services-area-surabaya-4518769?jobId=jobstreet-id-job-4518769&sectionRank=491&token=0~be21975e-a1bb-4259-aedf-42dd5afdca92&fr=SRP%20Job%20Listing
PT Berkah Permata Logistik,Sales Forwarder/Logistik,Jakarta Barat,"IDR 4,000,000 - IDR 8,000,000",https://www.jobstreet.co.id/id/job/sales-forwarder-logistik-4518316?jobId=jobstreet-id-job-4518316&sectionRank=1361&token=0~56b1ee54-4da6-4925-a572-12dcbfb9dd6c&fr=SRP%20Job%20Listing
PT Tanu Alvindo Perkasa,Accounting Staff,Karawang,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/accounting-staff-4517481?jobId=jobstreet-id-job-4517481&sectionRank=763&token=0~fb765531-069c-4b8a-93f7-1cfabaa92c85&fr=SRP%20Job%20Listing
PT ACCENTUATES,HR Officer area Yogyakarta & Solo,Yogyakarta,"IDR 5,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/hr-officer-area-yogyakarta-solo-4519078?jobId=jobstreet-id-job-4519078&sectionRank=285&token=0~85ea0121-5607-4751-b85f-ae8600cd99cc&fr=SRP%20Job%20Listing
PT. Kanemory Food Service,Maintenance Leader,Serang,"IDR 4,500,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/maintenance-leader-4516593?jobId=jobstreet-id-job-4516593&sectionRank=1634&token=0~1d08b392-603d-4cf8-be40-3438bb9b0397&fr=SRP%20Job%20Listing
PT SMART CHILLERS SYSTEMS,Admin Support (BALI / LOMBOK BASED),Bali,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/admin-support-bali-lombok-based-4517255?jobId=jobstreet-id-job-4517255&sectionRank=312&token=0~216fad1f-2284-41a8-b169-81337b034e9c&fr=SRP%20Job%20Listing
PT Kosambi Victory Lac,Kepala Farm Tambak Udang,Lombok,"IDR 5,000,000 - IDR 10,000,000",https://www.jobstreet.co.id/id/job/kepala-farm-tambak-udang-4517867?jobId=jobstreet-id-job-4517867&sectionRank=582&token=0~dfc31a67-8fac-4af6-bf91-034f9be4e42f&fr=SRP%20Job%20Listing
PT Paramadaksa Teknologi Nusantara,Bootcamp Programmer,Banten,"IDR 6,500,000 - IDR 7,500,000",https://www.jobstreet.co.id/id/job/bootcamp-programmer-4518875?jobId=jobstreet-id-job-4518875&sectionRank=735&token=0~f5325532-66cf-4ead-82a5-50cf12a31ba1&fr=SRP%20Job%20Listing
PT. Aurora Group,Project Site Administration Officer,Asahan Kisaran,"IDR 9,000,000 - IDR 11,000,000",https://www.jobstreet.co.id/id/job/project-site-administration-officer-4515619?jobId=jobstreet-id-job-4515619&sectionRank=492&token=0~be21975e-a1bb-4259-aedf-42dd5afdca92&fr=SRP%20Job%20Listing
PT Indraco,Account Payble (AP),Sidoarjo,"IDR 4,000,000 - IDR 4,300,000",https://www.jobstreet.co.id/id/job/account-payble-ap-4518205?jobId=jobstreet-id-job-4518205&sectionRank=887&token=0~e524793e-7696-4cf3-9951-aaaf124ca4ee&fr=SRP%20Job%20Listing
KSP. Setia Multi Sarana,Sales Officer,Jakarta Barat,"IDR 3,000,000 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/sales-officer-4517691?jobId=jobstreet-id-job-4517691&sectionRank=193&token=0~049678d9-f67a-42fa-825c-0dd3c9070d3e&fr=SRP%20Job%20Listing
PT Maharupa Gatra,Staf IT Support,Jakarta Utara,"IDR 5,500,000 - IDR 6,500,000",https://www.jobstreet.co.id/id/job/staf-it-support-4515964?jobId=jobstreet-id-job-4515964&sectionRank=1362&token=0~56b1ee54-4da6-4925-a572-12dcbfb9dd6c&fr=SRP%20Job%20Listing
PT Merdeka Copper Gold Tbk,IT Support,Sulawesi Tengah,"IDR 7,000,000 - IDR 9,800,000",https://www.jobstreet.co.id/id/job/it-support-4516004?jobId=jobstreet-id-job-4516004&sectionRank=1097&token=0~530a1051-fbd7-4ad9-80af-8bc7dc7ecb1f&fr=SRP%20Job%20Listing
Perusahaan Dirahasiakan,SOCIAL MEDIA AND EVENT SPECIALIST,Jakarta Raya,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/social-media-and-event-specialist-4519032?jobId=jobstreet-id-job-4519032&sectionRank=410&token=0~e7a7d03f-ca41-48a0-8ecc-c39f99367986&fr=SRP%20Job%20Listing
PT Bhineka Ciptabahana Pura,Site Manager,Jakarta Raya,"IDR 7,000,000 - IDR 9,000,000",https://www.jobstreet.co.id/id/job/site-manager-4517285?jobId=jobstreet-id-job-4517285&sectionRank=1609&token=0~07190b0c-aaf8-4128-9fc0-919b97badbb9&fr=SRP%20Job%20Listing
PT Warna Abadi Mitra Bersama,Accounting Staff,Sleman,"IDR 2,300,000 - IDR 2,400,000",https://www.jobstreet.co.id/id/job/accounting-staff-4517399?jobId=jobstreet-id-job-4517399&sectionRank=1159&token=0~03af6f7a-bc29-4bc0-a38a-a085effd5373&fr=SRP%20Job%20Listing
PT. Speedwork Solusi Utama,National Fleet Sales,Jakarta Raya,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/national-fleet-sales-4518417?jobId=jobstreet-id-job-4518417&sectionRank=1066&token=0~b12aad0d-ce7f-4b2e-925a-fc38787a2ad5&fr=SRP%20Job%20Listing
PT Thomasong Nirmala,Penguji Berkualifikasi / Petugas Proteksi Radiasi Sinar X (Dental),Jakarta Pusat,"IDR 6,000,000 - IDR 8,400,000",https://www.jobstreet.co.id/id/job/penguji-berkualifikasi-petugas-proteksi-radiasi-sinar-x-dental-4518343?jobId=jobstreet-id-job-4518343&sectionRank=1486&token=0~39aee3b0-1669-4866-a268-361e61dec0c5&fr=SRP%20Job%20Listing
PT TRS Forensics Indonesia,IT Administrator - Associate,Jakarta Selatan,"IDR 5,500,000 - IDR 8,000,000",https://www.jobstreet.co.id/id/job/it-administrator-associate-4517459?jobId=jobstreet-id-job-4517459&sectionRank=888&token=0~e524793e-7696-4cf3-9951-aaaf124ca4ee&fr=SRP%20Job%20Listing
PT. Mutiara Gemilang Indonesia,Food Stylist & Specialist Pastry,Jakarta Barat,"IDR 2,800,000 - IDR 4,000,000",https://www.jobstreet.co.id/id/job/food-stylist-specialist-pastry-4516902?jobId=jobstreet-id-job-4516902&sectionRank=194&token=0~049678d9-f67a-42fa-825c-0dd3c9070d3e&fr=SRP%20Job%20Listing
